"Test Case","MITRE ID","Campaign","Description"
"Delete shadow copies from system","T1490","Impact","Delete volume shadow copies on the host to inhibit file system recovery"
"Modify system boot configuration","T1490","Impact","Modify the host's boot configuration to inhibit automatic recovery"
"Encrypt a large amount of files","T1486","Impact","Encrypt a large amount of files on the endpoint to simulate ransomware"
"Lateral movement via RDP","T1021.001","Lateral Movement","Perform an interactive logon to a Windows system via RDP"
"Lateral movement via PsExec","T1021.002","Lateral Movement","Move to another system by creating a service remotely via Sysinternals PsExec"
"Lateral movement via WMI","T1021.003","Lateral Movement","Move to another system by using Windows Management Instrumentation (WMI) to spawn a process on that target system"
"Lateral movement via WinRM","T1021.006","Lateral Movement","Move to another system by using Windows Remote Management (WinRM) to spawn a process on that target system"
"Coerce authentication from domain system","T1021","Lateral Movement","Coerce an authentication attempt by issuing an RPC request to a remote machine in order to capture/relay those credentials"
"Bulk host reconnaissance","T1082","Discovery","Execute a series of discovery commands in sequence to gather information about the system/user/environment"
"BloodHound DC enumeration","T1087.002","Discovery","Use BloodHound/SharpHound to perform enumeration of domain resources against a domain controller"
"Internal port scan","T1046","Discovery","Run an internal port scan to probe interesting ports and services."
"HTTPS C2 over tcp/443","T1071.001","Command and Control","Establish a bidirectional command-and-control connection from a managed asset to an external server on the Internet over HTTPS"
"HTTP C2 over tcp/80","T1071.001","Command and Control","Establish a bidirectional command-and-control connection from a managed asset to an external server on the Internet over HTTP"
"Connect outbound over FTP","T1071.002","Command and Control","Establish an outbound connection to a server on the internet over FTP"
"Access via remote assistance tool","T1219","Command and Control","Establish a connection to a system using a legitimate remote assistance application. Where possible, use remote assistance software already in use in the environment."
"Remote tool download over HTTP","T1105","Command and Control","Download a malicious tool from a public hosting location onto the victim system"
"Clear Windows Event Log entries","T1070.001","Defense Evasion","Clear the Windows Event Log entries using the builtin wevtutil.exe to remove any attack indicators in the logs."
"Enabled WDigest via Registry","T1112","Defense Evasion","Set the UseLogonCredential key in the WDigest folder to enable cleartext credential storage in-memory"
"Sideload a DLL into a legitimate application","T1574.002","Defense Evasion","Rename an attacker-controlled DLL to the name of a DLL expected by a legitimate application, move that DLL to be adjacent to the application, then execute the application in order to trigger the loading of the DLL by the legitimate application."
"DLL execution using Rundll32","T1218.011","Defense Evasion","Execute a malicious DLL's function directly using rundll32"
"Load known-abusable kernel driver","T1014","Defense Evasion","Load a legitimate and signed kernel driver that is vulnerable to exploitation. Refer to projects like KDU (https://github.com/hfiref0x/KDU/) for potential vulnerable drivers to use. Vulnerable, signed drivers provide a privileged (kernel) execution mechanism to attackers, allowing them to bypass security controls they couldn't otherwise bypass, such as by killing protected processes."
"Modify identity policy in IdP","T1484","Defense Evasion","Modify an IdP policy to be more permissive for authentication. For example, disable an Azure AD conditional access policy's MFA requirement."
"New Outlook inbox rule","T1564.008","Defense Evasion","Create a new Outlook inbox rule to delete incoming emails matching a specified criteria (sender/sender domain/subject)."
"Volumetric Kerberoasting","T1558.003","Credential Access","Retrieve Kerberos TGS tickets from Active Directory for all users with service principal names (SPNs) set"
"Targeted Kerberoasting","T1558.003","Credential Access","Retrieve Kerberos TGS tickets from Active Directory for a few users (2-3) with service principal names (SPNs) set"
"Hash retrieval via U2U UnPAC-the-Hash","T1558","Credential Access","Perform a Kerberos U2U ticket request for the current user to retrieve a ticket containing their NTLM hash then recover the hash from the ticket."
"Dump LSASS memory using builtin comsvcs.dll","T1003.001","Credential Access","Use rundll32.exe and comsvcs.dll to dump LSASS process memory to disk"
"Dump LSASS memory using Task Manager","T1003.001","Credential Access","Use Task Manager to dump LSASS process memory to disk"
"Extract NTDS credentials from shadow","T1003.003","Credential Access","Dump domain hashes for all domain users on the domain controller by copying the NTDS.dit file from an existing shadow"
"Extract SAM, Security, and System Registry folders","T1003.002","Credential Access","Extract credentials from the Registry by exporting the appropriate folders to disk"
"Extract browser cookies","T1539","Credential Access","Extract cookie information from the user's browser"
"Pass-the-ticket","T1550.003","Credential Access","Dump a Kerberos ticket from one system then use it on another system to make a network request to a domain resource (e.g. access a share)"
"Persist via new scheduled task","T1053.005","Persistence","Persist on a system by creating a new scheduled task"
"Persist by modifying Registry Run key","T1547.001","Persistence","Run a payload during user login and startup by modifying an existing Registry Run key"
"Configure a custom federated domain in Entra ID","T1484.002","Persistence","Convert a custom domain in the Entra ID tenant into a federated domain. This can be used for persistent access into the tenant."
"Modify Group Policy object","T1484.001","Persistence","Modify a domain group policy object. This can be used for activities like persisting access to the environment, disabling security controls, and executing ransomware on domain systems."
"Persist via MFA device registration","T1556.006","Persistence","Establish persistence on an account by registering a new MFA device"
"Create new local user","T1136.001","Persistence","Persist access to a system by creating a new local user"
"Add user to local Administrator group","T1098","Persistence","Add an existing local user to the local Administrators group"
"Add user to Domain Admins group","T1098","Persistence","Add an existing domain user to the Domain Admins group"
"Assign user an admin role in IdP","T1098.003","Persistence","Assign user an administrator role within the identity provider (e.g. Entra ID)"
"Email QR code to known bad","T1566.002","Initial Access","Send a phishing email to a target containing a known bad link formatted as a QR code"
"Email link to known bad","T1566.002","Initial Access","Send a phishing email to a target containing a known bad link"
"Attachment - Macro","T1566.001","Initial Access","Send a spearphishing attachment containing a malicious macro payload to a target"
"Authentication via device code flow","T1528","Initial Access","Have a user authenticate to the tenant using a device code flow"
"Attachment - Smuggle ISO file in HTML","T1027.006","Initial Access","Send an HTML attachment that will initiate the download of an ISO payload encoded in that page. HTML smuggling can be used to evade email-based security controls as well as link inspections."
"Prompt a user with multiple MFA requests","T1621","Initial Access","Using valid credentials for a user, prompt that user with multiple MFA requests in a short period of time in order to induce them to accept the prompt."
"Phishing via external Teams tenant","T1566","Initial Access","Send a phishing message to a target user via a Team tenant not connected to the target user's tenant"
"Log in to portal via AitM proxy","T1557","Initial Access","Log in to an external portal from an adversary-in-the-middle proxy (such as Evilginx)"
"Suspicious external employee login","T1078","Initial Access","Log in to an external employee portal from an unexpected geolocation and with an unexpected user-agent to simulate a suspicious login attempt."
"Extract data to cloud storage service","T1567.002","Exfiltration","Extract data from the internal network to a cloud storage service like MEGA, Google Drive, or Box"
"Extract sensitive data over HTTP C2","T1041","Exfiltration","Extract data from the network via an HTTP C2 channel over tcp/80 to external host or IP"
"Extract sensitive data via email","T1048.001","Exfiltration","Exfiltrate data from the internal network by sending it as an email attachment to an inbox outside of the tenant"
"Bulk data collection from SharePoint","T1213.002","Collection","Download a large amount of files from SharePoint within a short time period"
"Search SharePoint for sensitive information","T1213.002","Collection","Perform searches within SharePoint for documents containing sensitive information like passwords and personal information"
"Instance credential compromise","T1552.005","AWS","Compromise the instance role credentials associated with an EC2 instance then use them to perform API actions from outside of the instance"
"Internal port scan from instance","T1046","AWS","Perform a port scan from an EC2 instance against other instances on the same private network"
"Disable a Trail","T1562.008","AWS","Disable a trail in CloudTrail"
"Modify role trust relationship","T1098","AWS","Add a statement to a role's trust policy to allow role assumption from any principal (""*"")"
"Virtual machine identity credential compromise","T1552.005","Azure","Retrieve a virtual machine's identity credentials from the metadata service then interact with Azure APIs from another source"
"Internal port scan from virtual machine","T1046","Azure","Perform a port scan from a virtual machine against other virtual machines on the same private network"
"Grant managed identity access to a resource group","T1098","Azure","Grant a managed identity permissive access to a resource group"
"Disable Graph activity diagnostic log category","T1562.008","Azure","Modify a diagnostic log to disable the ""MicrosoftGraphActivityLogs"" category."
